model_state,eps,clean_acc,fgsm_acc,pgd_acc
До защиты,0.0,0.9,0.9,0.9
До защиты,0.00392156862745098,0.9,0.6,0.5132
До защиты,0.00784313725490196,0.9,0.457,0.3056
До защиты,0.01568627450980392,0.9,0.3964,0.2428
До защиты,0.03137254901960784,0.9,0.3638,0.1624
До защиты,0.047058823529411764,0.9,0.3472,0.1144
До защиты,0.06274509803921569,0.9,0.3254,0.0826
После PGD adversarial training,0.0,0.8054,0.8054,0.8054
После PGD adversarial training,0.00392156862745098,0.8054,0.7564,0.7546
После PGD adversarial training,0.00784313725490196,0.8054,0.6986,0.692
После PGD adversarial training,0.01568627450980392,0.8054,0.581,0.5564
После PGD adversarial training,0.03137254901960784,0.8054,0.3748,0.2886
После PGD adversarial training,0.047058823529411764,0.8054,0.238,0.1182
После PGD adversarial training,0.06274509803921569,0.8054,0.1528,0.0322
